cov_n100,len_n100,cov_n200,len_n200,cov_n300,len_n300,cov_n500,len_n500,cov_n800,len_n800,cov_n1200,len_n1200,cov_n1500,len_n1500
1,45.42157996,1,37.15288234,1,37.91377165,1,23.65483327,1,19.16003302,1,23.37770341,1,25.73471235
1,39.4525182,1,35.90094408,1,33.53587608,1,30.1210775,1,31.5761613,1,30.14947863,1,19.69925822
1,37.53625143,1,22.40002926,1,21.92784922,1,31.7424589,1,23.18702157,1,22.92676974,1,31.64731428
1,34.65039746,1,25.89749367,1,23.74787001,1,21.7425702,1,27.07895586,1,24.34111955,1,35.2061585
1,36.56997614,1,39.03548585,1,35.668272,1,27.97690137,0,21.92493529,1,23.88333043,1,25.13459329
1,34.45713786,1,38.85191174,1,28.33379891,1,24.93721476,1,28.251868,1,23.43854759,1,29.64141299
1,53.88098601,1,26.19878598,1,24.17259422,1,21.5901937,1,20.85643106,1,29.79941352,1,32.83516652
1,41.89611034,1,24.57630634,0,20.69537719,1,21.01029762,1,27.23870094,1,22.56608022,1,33.60729088
1,31.98133691,1,23.88140825,1,40.10446663,1,24.52519551,1,27.92273189,1,24.1505355,1,20.26983057
0,27.01515705,1,26.39484198,1,33.4950161,1,21.92383408,1,23.12552579,1,22.1712774,1,23.14331868
1,76.93334841,1,31.24032358,1,22.93370213,1,29.9676568,1,23.38614725,1,24.02172707,1,22.75092208
1,44.08744539,1,39.14207272,1,21.8954519,1,22.95906236,1,22.26576452,1,21.88168299,1,22.77302927
1,38.18892317,1,39.69485313,1,27.54186284,1,22.87107042,1,28.43672332,1,22.25684367,1,24.06368531
1,37.6185313,1,42.63849344,1,21.22248844,1,22.39799461,1,24.09408196,1,22.67356287,1,28.80366155
1,44.58133098,1,34.05521763,1,24.01187252,1,29.15425682,1,31.23701597,1,31.13773575,1,19.96754159
1,45.69213627,1,30.61978668,1,30.85821287,1,20.76419253,1,21.61643114,1,23.38012528,1,28.1441583
1,55.79639767,1,25.97231576,1,36.24085634,1,22.98484123,0,20.48317808,1,19.61342445,0,23.41158263
1,49.44643957,1,28.37668687,1,25.0310095,1,30.2390612,0,21.00279786,1,29.89975481,1,31.92641356
