Homo_cov,Homo_len,Heter_cov,Heter_len,Asym_cov,Asym_len,Bimo_cov,Bimo_len,Bimo-fix_cov,Bimo-fix_len
1,7.47499473,1,12.11146012,1,12.11694942,1,15.92655462,1,5.78366297
1,5.917704161,1,12.11146012,1,8.536941635,1,43.41622423,1,37.12738487
1,5.917704161,1,11.3383882,0,54.80165759,1,21.16268216,1,5.78366297
1,6.696349446,1,13.91529461,1,10.46463813,1,18.32644641,1,9.701628207
1,6.521299043,1,13.75748096,1,8.979885234,1,11.21729523,1,7.091647767
1,5.726018672,1,14.81574873,1,7.531516648,1,11.21729523,1,3.833323117
1,6.680355117,1,13.96913451,1,8.110864083,1,12.97687095,1,4.983320052
1,6.362242968,1,13.96913451,1,9.559232669,1,16.05612847,1,3.25832465
1,7.316579414,0,9.736063449,1,8.110864083,1,13.19681792,1,3.641656961
1,6.562156938,1,13.22205633,1,7.8972976,1,20.40228741,0,4.331815575
1,8.895368293,1,20.38400351,1,7.604805096,1,13.0479745,1,5.513219823
1,7.874588325,1,17.35394893,1,7.604805096,0,10.4383796,1,5.513219823
1,29.01931624,1,54.81644186,1,7.019820089,1,17.79269251,0,4.725616991
1,6.124679809,1,11.01838027,0,8.774775111,1,12.0990309,0,6.103921947
1,7.099635893,1,13.72424143,1,10.33036589,1,17.01886874,1,4.793106917
1,5.970148364,1,11.2081305,1,8.264292709,1,45.76695784,1,36.68570294
1,6.77692517,1,15.09666557,1,9.444905953,1,20.00867001,1,16.77587421
1,5.808793003,1,10.97939314,1,7.378832776,1,22.30851714,1,3.871355587
1,7.099635893,1,12.809292,1,7.378832776,1,8.739419085,1,4.977457183
1,4.69600242,1,9.961379643,1,12.42603499,1,20.51289961,1,4.311652344
1,30.14530585,1,55.06429302,1,7.14497012,1,19.60121519,1,4.124189198
0,7.422713502,1,14.66536447,1,7.455620995,1,19.60121519,1,3.749262908
1,7.119745604,1,14.11195449,1,7.766271869,1,18.23368855,1,3.936726053
1,5.301938216,1,12.72842954,1,7.14497012,1,15.27071416,1,3.561799762
1,5.665064169,1,12.55671543,1,8.024654847,1,10.02147825,1,4.197602877
1,7.283653932,1,17.1031124,1,9.131503791,1,13.93229903,1,9.278911623
